countPeriod,countComma,countQuestion, countExclamation,countLetters,longestWordLength,countWspace,class
1737,480,90,226,200940,555,9575,0
1768,715,92,226,214431,555,9920,0
1525,373,175,118,128310,674,11274,0
8087,1894,76,37,527620,907,25266,0
1772,502,91,227,200116,555,9999,0
1585,407,183,117,126031,652,11255,0
1765,510,91,202,205002,555,9411,0
1788,484,90,226,213489,555,9631,0
1732,495,90,226,203241,555,9424,0
1437,338,170,118,118912,674,10397,0
1726,468,90,226,202701,555,9454,0
1726,706,90,226,212091,555,9395,0
1540,376,176,118,146291,1046,12393,0
1530,388,186,130,123675,631,11258,0
1741,468,90,226,203300,555,9464,0
1516,370,181,118,121506,652,10840,0
1550,399,181,118,131793,631,11619,0
1874,649,91,226,215511,555,11436,0
9250,2159,121,53,637926,907,28865,0
3403,726,94,48,245045,907,12015,0
1744,488,90,226,207778,555,9577,0
2245,510,98,76,176509,667,11194,0
1507,382,178,117,120943,631,10807,0
1725,718,90,226,202360,555,9449,0
9192,1143,98,93,391252,649,34555,0
5457,1120,106,45,362522,907,16924,0
6841,1700,97,50,456741,907,20123,0
1751,495,90,226,213568,555,9670,0
1749,512,91,226,205896,555,9984,0
1739,471,90,226,210418,555,9646,0
1750,462,91,202,202917,555,9430,0
1737,491,90,226,210771,555,9710,0
1709,453,90,226,200750,555,9062,0
6013,1294,95,44,398772,907,18476,0
4234,911,98,52,297734,907,15273,0
1471,334,178,117,115798,631,10186,0
1749,469,94,226,201680,555,9341,0
1727,460,90,232,210144,555,9294,0
1723,464,90,226,210203,555,9368,0
1728,475,90,227,203768,555,9375,0
1725,461,90,226,205852,555,9324,0
1613,361,199,117,122769,652,10676,0
9010,1158,108,96,391689,649,34681,0
1593,362,193,117,122502,652,10750,0
1620,392,211,117,131545,630,11689,0
1962,500,154,60,155309,699,12627,0
1538,381,182,118,122755,652,11168,0
4469,1133,127,57,325309,907,17829,0
1066,166,109,33,81626,555,6275,0
1962,711,245,127,156127,631,13158,0
1531,371,181,118,120121,674,10819,0
6735,1765,124,54,474289,907,20133,0
1592,396,205,117,126585,674,11466,0
1549,368,189,121,124711,652,11058,0
3805,697,108,46,267057,907,13562,0
1767,541,93,226,200373,555,10157,0
1715,454,91,226,206281,555,9224,0
3179,597,80,30,220366,907,8621,0
6300,1456,108,44,436653,907,18552,0
1721,457,91,226,203964,555,9301,0
